type,symbol,digit,response,correct,rt,state
practice,1,1,3,0,883.3,keyup
practice,1,1,1,1,234.9,keyup
practice,3,3,3,1,145.2,keyup
practice,2,2,2,1,80.4,keyup
test,4,1,1,1,359,keyup
test,3,3,3,1,122.1,keyup
test,5,2,2,1,73.3,keyup
test,9,3,1,0,97.6,keyup
test,8,2,3,0,34.5,keyup
test,1,1,2,0,135.9,keyup
test,6,3,1,0,150.2,keyup
test,1,1,3,0,91.2,keyup
test,5,2,2,1,59.5,keyup
test,6,3,1,0,82.3,keyup
test,7,1,3,0,61.1,keyup
test,4,1,2,0,1.1,keyup
test,5,2,1,0,1,keyup
test,9,3,2,0,208.3,keyup
test,5,2,3,0,76.5,keyup
